subject,activity,domain,acc_component,motion,derivative,axis,statistic,value
1,SITTING,time,body,angular,3,X,mean,-0.09367938072340426
1,SITTING,time,body,angular,3,Y,mean,-0.040211812425531915
1,SITTING,time,body,angular,3,Z,mean,-0.046702627000000003
1,SITTING,time,body,angular,3,X,sd,-0.9917315921276596
1,SITTING,time,body,angular,3,Y,sd,-0.9895180685106384
1,SITTING,time,body,angular,3,Z,sd,-0.9879358063829788
1,SITTING,time,body,linear,2,XYZ,mean,-0.9485367861702129
1,SITTING,time,body,linear,2,XYZ,sd,-0.9270784187234044
1,SITTING,time,gravity,linear,2,XYZ,mean,-0.9485367861702129
1,SITTING,time,gravity,linear,2,XYZ,sd,-0.9270784187234044
1,SITTING,time,body,linear,3,XYZ,mean,-0.9873641955319149
1,SITTING,time,body,linear,3,XYZ,sd,-0.9841200240425533
1,SITTING,time,body,angular,2,XYZ,mean,-0.9308924900000001
1,SITTING,time,body,angular,2,XYZ,sd,-0.934531840425532
1,SITTING,time,body,angular,3,XYZ,mean,-0.9919763412765958
1,SITTING,time,body,angular,3,XYZ,sd,-0.9883087285106383
1,SITTING,frequency,body,linear,2,X,mean,-0.9796412387234043
1,SITTING,frequency,body,linear,2,Y,mean,-0.944084550425532
1,SITTING,frequency,body,linear,2,Z,mean,-0.9591848891489362
1,SITTING,frequency,body,linear,2,X,sd,-0.9764123131914895
1,SITTING,frequency,body,linear,2,Y,sd,-0.9172750063829788
1,SITTING,frequency,body,linear,2,Z,sd,-0.9344695580851065
1,SITTING,frequency,body,linear,3,X,mean,-0.9865970225531915
1,SITTING,frequency,body,linear,3,Y,mean,-0.9815794670212766
1,SITTING,frequency,body,linear,3,Z,mean,-0.9860530923404256
1,SITTING,frequency,body,linear,3,X,sd,-0.9874929944680851
1,SITTING,frequency,body,linear,3,Y,sd,-0.9825139095744682
1,SITTING,frequency,body,linear,3,Z,sd,-0.9883391848936172
1,SITTING,frequency,body,angular,2,X,mean,-0.9761614640425532
1,SITTING,frequency,body,angular,2,Y,mean,-0.975838585319149
1,SITTING,frequency,body,angular,2,Z,mean,-0.9513155444680852
1,SITTING,frequency,body,angular,2,X,sd,-0.9779042270212767
1,SITTING,frequency,body,angular,2,Y,sd,-0.9623450425531915
1,SITTING,frequency,body,angular,2,Z,sd,-0.9439178410638298
1,SITTING,frequency,body,linear,2,XYZ,mean,-0.9477829225531915
1,SITTING,frequency,body,linear,2,XYZ,sd,-0.9284448017021277
1,SITTING,frequency,body,linear,3,XYZ,mean,-0.9852621268085107
1,SITTING,frequency,body,linear,3,XYZ,sd,-0.9816061774468086
1,SITTING,frequency,body,angular,2,XYZ,mean,-0.9584355893617021
1,SITTING,frequency,body,angular,2,XYZ,sd,-0.9321983748936171
1,SITTING,frequency,body,angular,3,XYZ,mean,-0.9897975472340427
1,SITTING,frequency,body,angular,3,XYZ,sd,-0.9870496172340426
1,STANDING,time,body,linear,2,Z,mean,-0.11060181773584905
1,STANDING,time,body,linear,2,X,sd,-0.995759901509434
1,STANDING,time,body,linear,2,Y,sd,-0.9731900564150944
1,STANDING,time,body,linear,2,Z,sd,-0.9797758769811321
1,STANDING,time,gravity,linear,2,X,mean,0.9429520003773585
1,STANDING,time,gravity,linear,2,Y,mean,-0.27298383226415096
1,STANDING,time,gravity,linear,2,Z,mean,0.013490582322641508
1,STANDING,time,gravity,linear,2,X,sd,-0.9937629850943397
1,STANDING,time,gravity,linear,2,Y,sd,-0.9812259579245284
1,STANDING,time,gravity,linear,2,Z,sd,-0.9763240635849056
1,STANDING,time,body,linear,3,X,mean,0.0753766542264151
1,STANDING,time,body,linear,3,Y,mean,0.007975730928301887
1,STANDING,time,body,linear,3,Z,mean,-0.0036852495470943397
1,STANDING,time,body,linear,3,X,sd,-0.9946045422641511
1,STANDING,time,body,linear,3,Y,sd,-0.9856487324528302
1,STANDING,time,body,linear,3,Z,sd,-0.9922511773584907
1,STANDING,time,body,angular,2,X,mean,-0.02398773479792453
1,STANDING,time,body,angular,2,Y,mean,-0.05939722098113207
1,STANDING,time,body,angular,2,Z,mean,0.074800751
1,STANDING,time,body,angular,2,X,sd,-0.9871919466037736
1,STANDING,time,body,angular,2,Y,sd,-0.9877344400000001
1,STANDING,time,body,angular,2,Z,sd,-0.9806456269811321
1,STANDING,time,body,angular,3,X,mean,-0.09960921290566038
1,STANDING,time,body,angular,3,Y,mean,-0.04406278779245283
1,STANDING,time,body,angular,3,Z,mean,-0.04895054667169811
1,STANDING,time,body,angular,3,X,sd,-0.9929451069811321
1,STANDING,time,body,angular,3,Y,sd,-0.9951379173584907
1,STANDING,time,body,angular,3,Z,sd,-0.9921084671698114
1,STANDING,time,body,linear,2,XYZ,mean,-0.9842782073584906
1,STANDING,time,body,linear,2,XYZ,sd,-0.9819429288679246
1,STANDING,time,gravity,linear,2,XYZ,mean,-0.9842782073584906
1,STANDING,time,gravity,linear,2,XYZ,sd,-0.9819429288679246
1,STANDING,time,body,linear,3,XYZ,mean,-0.9923677905660379
1,STANDING,time,body,linear,3,XYZ,sd,-0.9930962094339624
1,STANDING,time,body,angular,2,XYZ,mean,-0.9764937928301888
1,STANDING,time,body,angular,2,XYZ,sd,-0.9786900286792454
1,STANDING,time,body,angular,3,XYZ,mean,-0.9949667905660378
1,STANDING,time,body,angular,3,XYZ,sd,-0.9947332386792453
1,STANDING,frequency,body,linear,2,X,mean,-0.9952499326415095
1,STANDING,frequency,body,linear,2,Y,mean,-0.9770708477358491
1,STANDING,frequency,body,linear,2,Z,mean,-0.9852970986792454
1,STANDING,frequency,body,linear,2,X,sd,-0.9960283450943397
1,STANDING,frequency,body,linear,2,Y,sd,-0.9722931020754717
1,STANDING,frequency,body,linear,2,Z,sd,-0.9779372596226416
1,STANDING,frequency,body,linear,3,X,mean,-0.9946307973584907
1,STANDING,frequency,body,linear,3,Y,mean,-0.9854187045283019
1,STANDING,frequency,body,linear,3,Z,mean,-0.990752166037736
1,STANDING,frequency,body,linear,3,X,sd,-0.9950737592452831
1,STANDING,frequency,body,linear,3,Y,sd,-0.9870182267924529
1,STANDING,frequency,body,linear,3,Z,sd,-0.9923498181132077
1,STANDING,frequency,body,angular,2,X,mean,-0.9863867860377359
1,STANDING,frequency,body,angular,2,Y,mean,-0.9889844558490567
1,STANDING,frequency,body,angular,2,Z,mean,-0.9807731228301887
1,STANDING,frequency,body,angular,2,X,sd,-0.9874971286792453
1,STANDING,frequency,body,angular,2,Y,sd,-0.9871077277358491
1,STANDING,frequency,body,angular,2,Z,sd,-0.98234533
1,STANDING,frequency,body,linear,2,XYZ,mean,-0.9853563611320756
1,STANDING,frequency,body,linear,2,XYZ,sd,-0.9823138047169812
1,STANDING,frequency,body,linear,3,XYZ,mean,-0.9925424775471698
1,STANDING,frequency,body,linear,3,XYZ,sd,-0.9925360033962265
1,STANDING,frequency,body,angular,2,XYZ,mean,-0.9846176233962265
1,STANDING,frequency,body,angular,2,XYZ,sd,-0.9784660720754718
1,STANDING,frequency,body,angular,3,XYZ,mean,-0.9948153769811322
1,STANDING,frequency,body,angular,3,XYZ,sd,-0.9946711232075472
1,WALKING,time,body,linear,2,Z,mean,-0.11114810354736841
1,WALKING,time,body,linear,2,X,sd,-0.28374025884210524
1,WALKING,time,body,linear,2,Y,sd,0.11446133674736843
1,WALKING,time,body,linear,2,Z,sd,-0.26002790221052635
1,WALKING,time,gravity,linear,2,X,mean,0.9352232014736842
1,WALKING,time,gravity,linear,2,Y,mean,-0.2821650212631579
1,WALKING,time,gravity,linear,2,Z,mean,-0.068102864
1,WALKING,time,gravity,linear,2,X,sd,-0.9766096425263159
1,WALKING,time,gravity,linear,2,Y,sd,-0.9713059614736842
1,WALKING,time,gravity,linear,2,Z,sd,-0.9477172261052632
1,WALKING,time,body,linear,3,X,mean,0.07404163331578949
1,WALKING,time,body,linear,3,Y,mean,0.02827210958842106
1,WALKING,time,body,linear,3,Z,mean,-0.004168406177894742
1,WALKING,time,body,linear,3,X,sd,-0.11361560243578947
1,WALKING,time,body,linear,3,Y,sd,0.06700250076842106
1,WALKING,time,body,linear,3,Z,sd,-0.5026997885263158
1,WALKING,time,body,angular,2,X,mean,-0.041830963526
1,WALKING,time,body,angular,2,Y,mean,-0.06953004621157895
1,WALKING,time,body,angular,2,Z,mean,0.08494481730421052
1,WALKING,time,body,angular,2,X,sd,-0.4735354858947369
1,WALKING,time,body,angular,2,Y,sd,-0.054607768659473685
1,WALKING,time,body,angular,2,Z,sd,-0.3442666294736842
1,WALKING,time,body,angular,3,X,mean,-0.08999754237052632
1,WALKING,time,body,angular,3,Y,mean,-0.03984287094631579
1,WALKING,time,body,angular,3,Z,mean,-0.04613092950210526
1,WALKING,time,body,angular,3,X,sd,-0.20742185475789474
1,WALKING,time,body,angular,3,Y,sd,-0.304468510631579
1,WALKING,time,body,angular,3,Z,sd,-0.40425545263157897
1,WALKING,time,body,linear,2,XYZ,mean,-0.1369711765568421
1,WALKING,time,body,linear,2,XYZ,sd,-0.21968864563157894
1,WALKING,time,gravity,linear,2,XYZ,mean,-0.1369711765568421
1,WALKING,time,gravity,linear,2,XYZ,sd,-0.21968864563157894
1,WALKING,time,body,linear,3,XYZ,mean,-0.14142880903157895
1,WALKING,time,body,linear,3,XYZ,sd,-0.07447175006252632
1,WALKING,time,body,angular,2,XYZ,mean,-0.1609795525368421
1,WALKING,time,body,angular,2,XYZ,sd,-0.1869783645263158
1,WALKING,time,body,angular,3,XYZ,mean,-0.2987036790842105
1,WALKING,time,body,angular,3,XYZ,sd,-0.3253248788947368
1,WALKING,frequency,body,linear,2,X,mean,-0.2027943063263158
1,WALKING,frequency,body,linear,2,Y,mean,0.08971272640210527
1,WALKING,frequency,body,linear,2,Z,mean,-0.3315601177894737
1,WALKING,frequency,body,linear,2,X,sd,-0.31913471957894735
1,WALKING,frequency,body,linear,2,Y,sd,0.056040006846
1,WALKING,frequency,body,linear,2,Z,sd,-0.2796867514947368
1,WALKING,frequency,body,linear,3,X,mean,-0.17054696454957893
1,WALKING,frequency,body,linear,3,Y,mean,-0.03522552411306316
1,WALKING,frequency,body,linear,3,Z,mean,-0.46899922463157895
1,WALKING,frequency,body,linear,3,X,sd,-0.13358660632631578
1,WALKING,frequency,body,linear,3,Y,sd,0.106739857136
1,WALKING,frequency,body,linear,3,Z,sd,-0.5347134404210526
1,WALKING,frequency,body,angular,2,X,mean,-0.33903219711578947
1,WALKING,frequency,body,angular,2,Y,mean,-0.10305941643473684
1,WALKING,frequency,body,angular,2,Z,mean,-0.25594094031578946
1,WALKING,frequency,body,angular,2,X,sd,-0.5166919387368422
1,WALKING,frequency,body,angular,2,Y,sd,-0.03350815978842105
1,WALKING,frequency,body,angular,2,Z,sd,-0.43656222747368423
1,WALKING,frequency,body,linear,2,XYZ,mean,-0.1286234506294737
1,WALKING,frequency,body,linear,2,XYZ,sd,-0.3980325868421053
1,WALKING,frequency,body,linear,3,XYZ,mean,-0.057119400034315794
1,WALKING,frequency,body,linear,3,XYZ,sd,-0.10349240300210526
1,WALKING,frequency,body,angular,2,XYZ,mean,-0.1992525689863158
1,WALKING,frequency,body,angular,2,XYZ,sd,-0.32101795389473686
1,WALKING,frequency,body,angular,3,XYZ,mean,-0.3193085937789474
1,WALKING,frequency,body,angular,3,XYZ,sd,-0.3816019117894737
1,WALKING_DOWNSTAIRS,time,body,linear,2,Z,mean,-0.10756619090816326
1,WALKING_DOWNSTAIRS,time,body,linear,2,X,sd,0.030035338348387754
1,WALKING_DOWNSTAIRS,time,body,linear,2,Y,sd,-0.0319359434489796
1,WALKING_DOWNSTAIRS,time,body,linear,2,Z,sd,-0.23043421320408164
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,X,mean,0.9318744189795919
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,Y,mean,-0.26661033897959185
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,Z,mean,-0.06211995859387755
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,X,sd,-0.9505598116326531
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,Y,sd,-0.9370186589795918
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,Z,sd,-0.8959396951020409
1,WALKING_DOWNSTAIRS,time,body,linear,3,X,mean,0.054155316489795914
1,WALKING_DOWNSTAIRS,time,body,linear,3,Y,mean,0.029650449040816325
1,WALKING_DOWNSTAIRS,time,body,linear,3,Z,mean,-0.010971973018367345
1,WALKING_DOWNSTAIRS,time,body,linear,3,X,sd,-0.012283860544897957
1,WALKING_DOWNSTAIRS,time,body,linear,3,Y,sd,-0.10160139064081633
1,WALKING_DOWNSTAIRS,time,body,linear,3,Z,sd,-0.34573503232653063
1,WALKING_DOWNSTAIRS,time,body,angular,2,X,mean,-0.0350781902989796
1,WALKING_DOWNSTAIRS,time,body,angular,2,Y,mean,-0.09093712902040817
1,WALKING_DOWNSTAIRS,time,body,angular,2,Z,mean,0.09008501420306123
1,WALKING_DOWNSTAIRS,time,body,angular,2,X,sd,-0.45803054293877554
1,WALKING_DOWNSTAIRS,time,body,angular,2,Y,sd,-0.1263491949387755
1,WALKING_DOWNSTAIRS,time,body,angular,2,Z,sd,-0.12470245424285714
1,WALKING_DOWNSTAIRS,time,body,angular,3,X,mean,-0.07395920362714287
1,WALKING_DOWNSTAIRS,time,body,angular,3,Y,mean,-0.043990278336734696
1,WALKING_DOWNSTAIRS,time,body,angular,3,Z,mean,-0.027046106106122455
1,WALKING_DOWNSTAIRS,time,body,angular,3,X,sd,-0.48702734224489796
1,WALKING_DOWNSTAIRS,time,body,angular,3,Y,sd,-0.23882482753061227
1,WALKING_DOWNSTAIRS,time,body,angular,3,Z,sd,-0.2687614802428571
1,WALKING_DOWNSTAIRS,time,body,linear,2,XYZ,mean,0.027188291410612245
1,WALKING_DOWNSTAIRS,time,body,linear,2,XYZ,sd,0.01988435062653061
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,XYZ,mean,0.027188291410612245
1,WALKING_DOWNSTAIRS,time,gravity,linear,2,XYZ,sd,0.01988435062653061
1,WALKING_DOWNSTAIRS,time,body,linear,3,XYZ,mean,-0.08944748079795918
1,WALKING_DOWNSTAIRS,time,body,linear,3,XYZ,sd,-0.025787719708163265
1,WALKING_DOWNSTAIRS,time,body,angular,2,XYZ,mean,-0.07574125436734694
1,WALKING_DOWNSTAIRS,time,body,angular,2,XYZ,sd,-0.22572436806122448
1,WALKING_DOWNSTAIRS,time,body,angular,3,XYZ,mean,-0.29546384334693876
1,WALKING_DOWNSTAIRS,time,body,angular,3,XYZ,sd,-0.30651064553061225
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,X,mean,0.038229183151020404
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,Y,mean,0.001549907835918364
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,Z,mean,-0.22557447169387757
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,X,sd,0.02433083913877551
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,Y,sd,-0.11296373995306122
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,Z,sd,-0.2979278946938776
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,X,mean,-0.0276638676122449
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,Y,mean,-0.1286671576489796
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,Z,mean,-0.2883347357142857
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,X,sd,-0.08632789664020409
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,Y,sd,-0.13458000887755103
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,Z,sd,-0.4017214642857143
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,X,mean,-0.3524496313632653
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,Y,mean,-0.05570225246938776
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,Z,mean,-0.03186942719795918
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,X,sd,-0.49542248610204087
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,Y,sd,-0.18141472865714287
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,Z,sd,-0.23844356530612246
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,XYZ,mean,0.09658453430408163
1,WALKING_DOWNSTAIRS,frequency,body,linear,2,XYZ,sd,-0.1865303010734694
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,XYZ,mean,0.026218494932653057
1,WALKING_DOWNSTAIRS,frequency,body,linear,3,XYZ,sd,-0.10405226072653062
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,XYZ,mean,-0.18572028574489796
1,WALKING_DOWNSTAIRS,frequency,body,angular,2,XYZ,sd,-0.398350390122449
1,WALKING_DOWNSTAIRS,frequency,body,angular,3,XYZ,mean,-0.281963359177551
1,WALKING_DOWNSTAIRS,frequency,body,angular,3,XYZ,sd,-0.3919198766122449
1,WALKING_UPSTAIRS,time,body,linear,2,Z,mean,-0.09730200209433962
1,WALKING_UPSTAIRS,time,body,linear,2,X,sd,-0.35470802509433963
1,WALKING_UPSTAIRS,time,body,linear,2,Y,sd,-0.0023202650169811294
1,WALKING_UPSTAIRS,time,body,linear,2,Z,sd,-0.01947923884716981
1,WALKING_UPSTAIRS,time,gravity,linear,2,X,mean,0.8933510975471698
1,WALKING_UPSTAIRS,time,gravity,linear,2,Y,mean,-0.36215336433962264
1,WALKING_UPSTAIRS,time,gravity,linear,2,Z,mean,-0.07540293975471699
1,WALKING_UPSTAIRS,time,gravity,linear,2,X,sd,-0.9563670279245283
1,WALKING_UPSTAIRS,time,gravity,linear,2,Y,sd,-0.9528492332075472
1,WALKING_UPSTAIRS,time,gravity,linear,2,Z,sd,-0.9123794103773585
1,WALKING_UPSTAIRS,time,body,linear,3,X,mean,0.10137272992264151
1,WALKING_UPSTAIRS,time,body,linear,3,Y,mean,0.01948630761886792
1,WALKING_UPSTAIRS,time,body,linear,3,Z,mean,-0.04556254491132075
1,WALKING_UPSTAIRS,time,body,linear,3,X,sd,-0.4468438877358491
1,WALKING_UPSTAIRS,time,body,linear,3,Y,sd,-0.37827442603773587
1,WALKING_UPSTAIRS,time,body,linear,3,Z,sd,-0.7065935309433963
1,WALKING_UPSTAIRS,time,body,angular,2,X,mean,0.05054937975471698
1,WALKING_UPSTAIRS,time,body,angular,2,Y,mean,-0.16617001508867926
1,WALKING_UPSTAIRS,time,body,angular,2,Z,mean,0.05835954639811321
1,WALKING_UPSTAIRS,time,body,angular,2,X,sd,-0.5448711045283019
1,WALKING_UPSTAIRS,time,body,angular,2,Y,sd,0.0041051837981132076
1,WALKING_UPSTAIRS,time,body,angular,2,Z,sd,-0.5071686749056604
1,WALKING_UPSTAIRS,time,body,angular,3,X,mean,-0.12223276801132076
1,WALKING_UPSTAIRS,time,body,angular,3,Y,mean,-0.042148588450943394
1,WALKING_UPSTAIRS,time,body,angular,3,Z,mean,-0.0407125527654717
1,WALKING_UPSTAIRS,time,body,angular,3,X,sd,-0.614786508490566
1,WALKING_UPSTAIRS,time,body,angular,3,Y,sd,-0.6016966562264151
1,WALKING_UPSTAIRS,time,body,angular,3,Z,sd,-0.606332002264151
1,WALKING_UPSTAIRS,time,body,linear,2,XYZ,mean,-0.12992763073584906
1,WALKING_UPSTAIRS,time,body,linear,2,XYZ,sd,-0.32497092924528304
1,WALKING_UPSTAIRS,time,gravity,linear,2,XYZ,mean,-0.12992763073584906
1,WALKING_UPSTAIRS,time,gravity,linear,2,XYZ,sd,-0.32497092924528304
1,WALKING_UPSTAIRS,time,body,linear,3,XYZ,mean,-0.4665034462264151
1,WALKING_UPSTAIRS,time,body,linear,3,XYZ,sd,-0.4789916220754717
1,WALKING_UPSTAIRS,time,body,angular,2,XYZ,mean,-0.12673558996981132
1,WALKING_UPSTAIRS,time,body,angular,2,XYZ,sd,-0.14861931805283018
1,WALKING_UPSTAIRS,time,body,angular,3,XYZ,mean,-0.5948828650943396
1,WALKING_UPSTAIRS,time,body,angular,3,XYZ,sd,-0.6485530443396227
1,WALKING_UPSTAIRS,frequency,body,linear,2,X,mean,-0.4043217841509434
1,WALKING_UPSTAIRS,frequency,body,linear,2,Y,mean,-0.19097672081132075
1,WALKING_UPSTAIRS,frequency,body,linear,2,Z,mean,-0.43334970207547174
1,WALKING_UPSTAIRS,frequency,body,linear,2,X,sd,-0.3374281886792453
1,WALKING_UPSTAIRS,frequency,body,linear,2,Y,sd,0.021769510656603774
1,WALKING_UPSTAIRS,frequency,body,linear,2,Z,sd,0.08595655438490567
1,WALKING_UPSTAIRS,frequency,body,linear,3,X,mean,-0.47987524566037737
1,WALKING_UPSTAIRS,frequency,body,linear,3,Y,mean,-0.41344458754716984
1,WALKING_UPSTAIRS,frequency,body,linear,3,Z,mean,-0.6854743539622642
1,WALKING_UPSTAIRS,frequency,body,linear,3,X,sd,-0.46190702584905663
1,WALKING_UPSTAIRS,frequency,body,linear,3,Y,sd,-0.3817770652830189
1,WALKING_UPSTAIRS,frequency,body,linear,3,Z,sd,-0.726040200754717
1,WALKING_UPSTAIRS,frequency,body,angular,2,X,mean,-0.4926116679245283
1,WALKING_UPSTAIRS,frequency,body,angular,2,Y,mean,-0.3194746090566038
1,WALKING_UPSTAIRS,frequency,body,angular,2,Z,mean,-0.45359721301886796
1,WALKING_UPSTAIRS,frequency,body,angular,2,X,sd,-0.565892490754717
1,WALKING_UPSTAIRS,frequency,body,angular,2,Y,sd,0.15153890556603775
1,WALKING_UPSTAIRS,frequency,body,angular,2,Z,sd,-0.57170784
1,WALKING_UPSTAIRS,frequency,body,linear,2,XYZ,mean,-0.35239594471698116
1,WALKING_UPSTAIRS,frequency,body,linear,2,XYZ,sd,-0.416260101509434
1,WALKING_UPSTAIRS,frequency,body,linear,3,XYZ,mean,-0.44265216245283023
1,WALKING_UPSTAIRS,frequency,body,linear,3,XYZ,sd,-0.5330598537735849
1,WALKING_UPSTAIRS,frequency,body,angular,2,XYZ,mean,-0.32596145739622645
1,WALKING_UPSTAIRS,frequency,body,angular,2,XYZ,sd,-0.18298551826415094
1,WALKING_UPSTAIRS,frequency,body,angular,3,XYZ,mean,-0.6346650820754717
1,WALKING_UPSTAIRS,frequency,body,angular,3,XYZ,sd,-0.693930521509434
